Властелин колец| Джон Р. Р. Толкин
Гордость и предубеждение| Джейн Остин
Тёмные начала| Филип Пулман
Автостопом по галактике| Дуглас Адамс
Гарри Поттер и Кубок огня| Джоан Роулинг
Убить пересмешника| Харпер Ли
Винни Пух| Алан Александр Милн
1984| Джордж Оруэлл
Лев, колдунья и платяной шкаф| Клайв Стэйплз Льюис
Джейн Эйр| Шарлотта Бронте
Уловка-22| Джозеф Хеллер
Грозовой перевал| Эмили Бронте
Пение птиц| Себастьян Фолкс
Ребекка| Дафна Дюморье
Над пропастью во ржи| Джером Сэлинджер
Ветер в ивах| Кеннет Грэм
Большие надежды| Чарльз Диккенс
Маленькие женщины| Луиза Мэй Олкотт
Мандолина капитана Корелли| Луи де Берньер
Война и мир| Лев Толстой
Унесённые ветром| Маргарет Митчелл
Гарри Поттер и философский камень| Джоан Роулинг
Гарри Поттер и Тайная комната| Джоан Роулинг
Гарри Поттер и узник Азкабана| Джоан Роулинг
Хоббит, или Туда и обратно| Джон Р. Р. Толкин
Тэсс из рода д’Эрбервиллей| Томас Харди
Миддлмарч| Джордж Элиот
Молитва об Оуэне Мини| Джон Ирвинг
Гроздья гнева| Джон Стейнбек
Алиса в Стране чудес| Льюис Кэрролл
Дневник Трейси Бикер| Жаклин Уилсон
Сто лет одиночества| Габриэль Гарсиа Маркес
Столпы Земли| Кен Фоллетт
Дэвид Копперфильд| Чарльз Диккенс
Чарли и шоколадная фабрика| Роальд Даль
Остров сокровищ| Роберт Стивенсон
Город как Элис| Невил Шют
Доводы рассудка| Джейн Остин
Дюна| Фрэнк Герберт
Эмма| Джейн Остин
Аня из Зеленых Мезонинов| Люси Мод Монтгомери
Обитатели холмов| Ричард Адамс
Великий Гэтсби| Фрэнсис Скотт Фицджеральд
Граф Монте-Кристо| Александр Дюма
Возвращение в Брайдсхед| Ивлин Во
Скотный двор| Джордж Оруэлл
Рождественская песнь| Чарльз Диккенс
Вдали от обезумевшей толпы| Томас Харди
Спокойной ночи, мистер Том| Мишель Магориан
Семейная реликвия| Розамунд Пилчер
Таинственный сад| Фрэнсис Бернетт
О мышах и людях| Джон Стейнбек
Противостояние| Стивен Кинг
Анна Каренина| Лев Толстой
Подходящий жених| Викрам Сет
БДВ, или Большой и добрый великан| Роальд Даль
Ласточки и амазонки| Артур Рэнсом
Чёрный красавчик| Анна Сьюэлл
Артемис Фаул| Йон Колфер
Преступление и наказание| Федор Достоевский
